form subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
NProf B c18 204 23.50 15.50 158 260 22.9 14.7 1.17 0.37 3.94 -3.83 2.28 2.73 2.4 16 -17.0 -27.0 13.2 10.7 7.6 2.5 
NProf B c19 198 12.58 7.11 158 213 12.1 16.9 2.03 0.11 2.96 -2.73 1.86 2.60 1.7 15 -18.7 -23.1 11.5 9.4 11.0 2.8 
NProf B c20 201 19.40 11.49 152 239 19.3 10.3 1.71 0.20 3.53 -3.02 2.22 4.19 1.5 17 -19.7 -23.3 11.6 12.7 8.7 2.6 
NProf B c21 206 19.01 11.75 168 243 16.4 7.7 2.14 0.05 3.74 -2.21 2.73 2.79 2.5 20 -18.7 -24.5 13.4 12.6 8.5 2.6 
NProf B c22 202 23.71 13.12 160 256 26.5 13.1 1.82 0.50 4.46 -3.75 2.28 3.48 1.8 16 -18.4 -25.6 12.7 3.9 7.4 2.3 
NProf B c23 205 27.15 20.22 158 264 32.2 13.2 1.65 0.26 4.78 -4.22 3.21 4.07 2.1 15 -18.2 -21.8 12.3 14.1 8.0 2.3 
NProf B c24 208 25.56 18.59 164 261 30.4 9.2 1.79 0.21 4.68 -4.25 3.57 4.71 2.3 16 -17.3 -25.5 12.2 10.9 7.7 2.5 
NProf B c25 202 25.70 15.12 150 254 26.0 6.4 1.97 0.15 3.39 -2.54 2.59 3.63 2.1 19 -19.1 -24.0 13.0 8.8 7.9 2.1 
NProf B c26 202 27.20 20.71 145 266 20.7 15.1 1.39 0.30 4.27 -4.46 3.41 4.34 2.4 14 -17.1 -22.6 10.8 12.1 8.4 2.3 
NProf B c27 199 15.73 11.35 165 223 14.6 18.3 1.59 0.29 3.30 -2.73 1.62 3.08 1.7 17 -18.3 -24.2 14.2 9.8 8.2 2.1 
NProf B c28 199 28.70 23.18 154 261 35.6 6.0 1.25 0.43 4.16 -4.72 2.40 3.96 1.7 15 -19.0 -28.7 13.6 13.4 7.3 2.2 
NProf B c29 193 22.08 17.42 154 246 20.0 10.6 1.28 0.38 3.70 -3.46 2.80 2.95 2.2 15 -18.5 -24.1 10.4 11.4 8.0 2.8 
NProf B c30 201 19.32 11.90 157 254 17.7 14.0 1.55 0.20 4.04 -4.28 3.25 3.24 2.3 15 -19.0 -25.0 13.4 8.3 8.1 2.3 
NProf J c5 210 44.92 27.02 156 311 44.4 6.0 1.54 0.23 6.07 -11.29 3.55 7.99 2.3 14 -14.9 -21.1 12.4 10.7 8.3 1.9 
NProf J c6 176 24.83 15.55 146 237 31.2 22.1 1.84 0.12 4.81 -6.54 4.21 5.68 2.1 18 -17.5 -19.0 10.5 9.4 11.8 2.8 
NProf J c7 187 40.91 27.57 136 275 47.4 8.3 1.72 0.14 5.97 -7.54 3.62 6.16 2.2 13 -17.4 -14.9 10.4 13.2 10.3 2.4 
NProf J c8 200 22.75 11.38 131 270 37.9 21.4 0.96 0.23 5.22 -3.19 6.50 3.96 2.8 20 -17.2 -23.6 14.7 10.7 7.5 1.8 
NProf J c9 196 19.07 18.19 176 238 14.9 14.1 1.19 0.21 2.81 -4.23 2.24 4.19 3.1 18 -17.1 -27.7 14.4 14.8 7.3 1.7 
NProf J c10 190 28.50 9.14 157 274 37.5 4.9 0.98 0.27 3.76 -3.56 2.28 4.03 2.6 19 -18.2 -23.9 14.6 12.3 8.5 1.8 
NProf J c11 193 16.52 11.02 160 233 19.7 10.0 1.34 0.58 2.31 -3.40 2.55 2.62 2.9 15 -18.1 -23.4 13.5 9.7 8.3 1.7 
NProf J c12 185 19.57 18.17 156 230 26.7 13.3 1.56 0.22 2.80 -1.40 2.40 1.01 2.3 16 -16.4 -23.9 14.9 14.0 6.4 1.7 
NProf J c13 216 25.89 18.80 162 274 27.3 8.0 1.33 0.52 3.70 -4.16 3.21 4.12 3.4 17 -15.2 -23.9 13.7 13.4 7.5 1.9 
NProf J c14 193 19.33 13.81 163 237 21.8 8.5 1.48 0.33 3.10 -3.22 2.57 2.44 2.2 14 -18.7 -24.4 15.7 13.2 7.0 1.5 
NProf J c15 208 25.02 14.95 173 282 26.1 4.7 1.46 0.43 3.26 -2.71 3.11 1.63 2.8 20 -19.1 -23.9 15.3 13.7 8.3 1.5 
NProf J c16 208 33.97 29.71 167 303 NA 4.8 NA NA 3.58 -4.85 2.50 4.30 3.4 16 -19.6 -29.4 14.9 14.1 8.4 1.8 
NProf J c17 202 25.35 18.62 161 268 29.3 4.6 1.04 0.57 2.74 -3.21 2.15 2.53 2.9 14 -18.6 -26.9 15.2 14.0 7.1 1.7 
NProf J c18 188 18.82 14.86 155 231 18.5 12.3 1.62 0.15 3.14 -2.13 3.92 1.71 3.2 14 -17.9 -28.7 14.2 16.2 8.2 1.9 
NProf J c19 217 25.66 16.69 184 276 31.0 5.2 1.73 0.02 3.51 -3.78 3.03 2.53 1.5 14 -20.4 -26.8 15.7 14.2 6.4 1.9 
NProf J c20 191 14.05 11.70 165 216 23.1 19.6 1.82 0.11 1.75 -2.58 2.07 2.93 2.4 19 -15.9 -24.7 13.9 17.7 6.4 1.7 
NProf J c21 193 16.68 13.05 166 244 22.5 10.5 1.57 0.48 4.41 -1.69 4.65 1.38 2.6 13 -15.5 -25.9 13.8 10.1 9.3 1.8 
NProf J c22 197 21.75 19.71 164 237 7.8 16.8 1.29 0.87 5.02 -2.20 3.51 1.63 2.8 12 -18.8 -25.1 14.9 9.6 7.2 1.9 
NProf J c23 208 20.04 11.09 168 278 31.4 14.3 1.31 0.60 4.19 -2.77 6.25 3.06 2.7 16 -18.2 -26.2 15.1 13.6 8.3 1.8 
NProf J c24 206 19.52 13.84 165 243 15.9 24.0 1.27 0.30 3.01 -3.79 1.96 3.24 2.4 20 -16.2 -24.5 13.7 15.6 8.1 2.1 
NProf J c25 204 23.23 19.00 172 260 23.3 11.9 1.16 0.47 3.76 -4.20 3.53 4.34 1.8 14 -17.7 -22.6 14.8 12.5 6.5 1.8 
NProf J c26 205 28.17 15.18 172 298 42.0 8.4 1.12 0.32 3.94 -3.97 3.93 5.44 3.0 14 -17.7 -25.5 14.7 11.4 7.3 1.6 
NProf J c27 212 25.41 18.12 178 283 31.4 13.2 1.70 0.29 4.98 -3.31 4.04 3.78 2.7 14 -18.6 -27.0 15.4 11.1 7.5 1.8 
NProf J c28 191 12.58 6.00 173 230 17.3 12.1 1.65 0.42 1.50 -1.35 1.36 1.91 2.5 18 -16.8 -21.9 13.1 13.0 8.7 2.0 
