subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
SC v5 154 26.21 15.98 129 223 32.3 8.0 2.21 0.06 5.44 -4.19 3.90 4.70 2.4 18 -12.4 -30.3 9.8 18.9 10.6 2.7 
SC v6 147 21.41 11.39 134 213 28.4 6.9 2.07 0.12 4.06 -3.09 3.43 3.36 1.7 19 -18.7 -24.4 11.4 14.6 8.9 1.9 
SC v7 146 8.82 7.53 130 164 10.1 9.5 2.31 0.07 1.53 -1.41 1.71 1.72 1.9 21 -16.3 -33.9 11.6 19.9 10.0 2.3 
SC v8 142 38.34 21.39 112 251 93.1 14.9 1.27 NA 4.54 -2.21 2.35 3.33 5.7 21 -18.8 -18.1 7.5 17.6 10.4 2.4 
SC v9 185 25.05 22.13 128 214 32.3 9.9 1.62 0.47 4.39 -2.33 2.23 2.40 2.5 21 -15.3 -15.0 10.2 14.8 10.1 2.3 
SC v10 125 7.36 5.33 114 143 9.0 12.8 1.47 0.13 1.43 -0.59 1.21 0.74 5.2 21 -14.4 -19.3 8.5 21.9 10.4 2.5 
SC v11 162 22.23 17.40 137 213 29.4 21.3 2.16 0.22 4.33 -2.68 2.25 3.18 2.1 19 -14.3 -20.2 9.0 18.6 9.1 3.2 
SC v12 191 21.78 9.23 150 252 34.4 7.7 2.59 0.14 5.36 -2.50 3.76 4.28 3.7 24 -14.0 -19.6 7.7 15.0 11.9 3.0 
SC v13 159 17.88 12.38 128 189 16.2 8.4 1.47 0.56 3.10 -1.84 2.53 2.27 4.0 25 -15.8 -20.7 8.1 19.1 11.5 2.3 
SC v14 145 16.70 14.91 115 167 7.7 20.4 2.63 NA 2.60 -2.24 1.05 1.62 1.7 12 -11.5 -18.1 8.7 17.0 8.4 2.2 
SM v1 107 11.02 5.31 90 132 10.0 25.8 1.82 0.10 2.13 -2.74 0.76 2.29 0.7 19 -19.9 -26.8 9.9 11.6 12.6 3.3 
SM v2 130 24.80 19.79 97 212 32.7 25.4 1.90 0.27 3.77 -7.12 2.00 6.04 0.7 18 -17.7 -19.3 7.1 11.0 15.5 4.7 
SM v3 142 18.86 14.01 116 200 17.4 6.4 2.17 0.09 3.66 -3.32 1.32 2.48 1.2 14 -20.0 -24.7 8.7 17.5 13.9 3.6 
SM v4 129 18.10 11.66 89 160 13.7 10.6 2.20 0.03 1.46 -1.38 0.73 1.95 0.6 18 -19.0 -25.2 10.0 16.1 10.9 3.5 
SM v5 136 21.77 19.42 94 170 30.2 7.9 1.88 0.15 3.23 -2.74 2.09 3.64 0.8 18 -17.4 -33.5 9.4 18.0 10.8 3.5 
SM v6 132 19.27 11.75 89 194 32.5 20.5 1.10 0.83 5.62 -2.70 5.33 2.68 1.1 18 -18.4 -24.9 7.2 18.8 11.5 3.7 
SM v7 143 17.13 12.70 102 177 13.0 21.4 1.95 0.31 4.72 -5.87 2.62 3.57 0.8 17 -17.4 -30.9 8.4 12.3 11.9 4.5 
SM v8 142 19.53 10.68 93 166 31.5 14.8 1.71 0.06 2.04 -1.91 2.84 2.36 1.7 19 -16.4 -29.6 8.0 15.2 14.1 4.5 
SM v9 117 11.53 8.90 92 142 14.0 24.7 1.53 0.55 1.20 -3.38 1.16 2.56 2.3 18 -15.0 -23.8 6.8 21.2 13.1 3.7 
SM v10 131 11.51 8.45 110 151 8.6 32.4 1.62 0.04 2.98 -0.98 2.86 1.94 1.7 18 -14.5 -22.9 7.1 20.4 15.6 4.1 
SM v11 132 13.88 10.14 113 167 16.3 19.5 1.30 0.55 1.75 -1.93 2.75 3.28 1.0 18 -16.2 -22.9 7.5 21.3 14.0 3.6 
SM v12 149 21.08 15.33 84 161 3.0 4.3 1.51 0.83 2.63 -1.63 1.41 2.17 0.9 19 -17.4 -23.7 9.5 14.9 15.0 3.7 
SM v13 130 19.40 8.98 79 156 13.3 21.6 1.47 0.25 2.36 -2.20 1.35 2.37 1.4 19 -13.5 -23.0 7.5 20.6 13.5 3.4 
SM v14 121 19.20 13.03 76 147 5.4 27.4 1.23 NA 1.35 -3.04 1.07 1.90 0.7 18 -16.5 -22.2 8.0 17.7 13.5 4.0 
YR v1 97 12.22 3.63 83 134 20.1 15.2 3.26 0.03 1.74 -1.33 1.21 2.11 1.1 13 -18.0 -32.4 8.5 15.2 11.2 2.4 
YR v2 96 8.34 3.36 85 120 3.0 9.9 2.61 0.17 1.78 -1.38 0.96 1.66 2.0 12 -15.3 -22.6 9.1 14.6 11.5 2.1 
YR v3 104 12.02 9.31 88 126 14.2 7.4 1.14 NA 0.94 -1.80 0.75 1.17 2.1 13 -11.8 -27.7 9.4 23.3 11.3 2.1 
YR v4 107 10.84 10.01 82 114 11.8 10.7 1.83 0.13 0.86 -0.72 0.50 1.23 0.7 12 -15.1 -23.7 8.8 18.1 10.9 2.0 
YR v5 113 8.97 4.90 85 120 4.4 3.9 3.31 0.09 0.54 -1.57 0.16 1.33 2.4 13 -14.3 -39.2 8.9 23.5 14.2 2.2 
YR v6 100 4.64 1.54 86 110 4.8 17.6 1.89 0.11 1.17 -0.66 0.90 1.00 1.8 13 -17.6 -24.2 9.6 14.1 11.0 2.3 
YR v7 97 6.00 3.94 79 105 5.2 7.7 0.85 NA 0.31 -0.74 0.11 0.99 1.1 14 -15.0 -36.1 8.5 16.2 12.7 2.8 
YR v8 87 2.75 2.58 81 93 2.9 24.4 2.47 0.19 0.72 -0.15 0.71 0.36 1.4 11 -18.6 -23.9 4.6 13.3 16.1 2.8 
YR v9 118 17.05 7.55 87 145 17.8 8.9 1.80 0.18 2.19 -2.88 1.19 1.70 2.3 12 -12.8 -22.7 7.7 24.0 9.7 2.1 
YR v10 89 2.77 1.79 83 95 2.1 27.0 1.38 0.64 0.63 -0.94 0.80 0.85 1.9 12 -15.6 -24.8 7.9 12.8 14.2 3.0 
YR v11 91 2.68 1.43 86 98 2.6 25.0 1.90 0.25 0.61 -0.40 0.65 0.49 1.4 12 -14.3 -24.3 8.0 12.0 13.3 2.9 
YR v12 113 22.24 22.66 78 142 NA 8.9 NA NA 1.59 -1.04 0.86 1.60 2.4 12 -16.3 -22.9 7.2 12.0 15.3 2.5 
YR v13 109 18.95 19.26 79 132 23.8 4.2 2.00 0.69 0.27 -0.91 0.28 1.39 1.6 13 -14.9 -24.9 7.2 18.4 10.4 2.8 
YR v14 99 7.73 4.84 79 105 NA 4.4 NA NA 0.67 -1.31 0.43 1.17 0.5 9 -19.9 -19.5 9.5 11.5 15.8 2.3 
