audiofile chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
Montsauche-les-Settons t2 143 15.87 7.75 96 164 9.8 11.5 2.74 0.14 4.39 -2.24 2.80 2.39 1.9 19 -23.0 -31.2 8.2 13.3 13.1 3.1 
Montsauche-les-Settons t3 136 25.43 18.98 107 196 18.2 11.6 1.32 0.40 6.48 -3.62 4.34 3.55 1.7 14 -23.6 -28.2 10.0 12.1 12.3 3.3 
Montsauche-les-Settons t4 143 18.92 7.65 85 187 31.0 10.6 4.21 NA 4.71 -2.64 3.84 3.55 3.9 20 -22.4 -32.4 8.3 14.4 17.3 3.2 
Montsauche-les-Settons t5 146 12.75 11.17 118 163 5.6 26.5 2.20 0.19 5.84 -3.02 3.88 2.65 1.3 17 -24.1 -27.1 7.9 13.7 14.3 3.4 
Montsauche-les-Settons t6 155 27.74 19.14 114 221 37.0 7.4 1.13 0.10 5.11 -3.39 3.06 3.67 1.0 19 -20.0 -34.4 9.6 14.8 12.9 3.0 
Montsauche-les-Settons t7 133 19.57 12.67 94 186 19.4 10.0 2.10 0.14 3.68 -2.92 2.39 3.11 1.4 20 -23.6 -28.2 10.6 11.0 10.7 3.1 
Montsauche-les-Settons t8 156 26.77 21.73 108 203 21.8 28.2 2.09 0.28 8.12 -4.58 4.09 5.42 1.7 18 -26.6 -29.4 9.6 12.1 14.0 3.5 
Montsauche-les-Settons t9 156 22.28 16.63 101 192 14.8 15.5 1.56 0.37 5.76 -4.27 4.83 3.22 0.6 20 -28.9 -32.4 11.0 12.5 11.3 2.9 
Montsauche-les-Settons t10 130 17.47 10.49 101 166 15.6 14.7 1.74 0.30 3.33 -3.86 2.27 3.56 1.6 14 -24.6 -27.9 9.3 9.3 13.6 3.0 
Naves t1 152 26.94 15.97 109 217 27.5 7.0 1.61 0.33 5.52 -2.92 3.44 2.92 0.9 18 -19.5 -34.4 9.5 15.5 12.4 2.6 
