ling suj estilo sex repet f0med f0sd f0sk df0mean df0sd df0sk emph f0r 
FR AL RE MA 2 85 1.38 0.19 0.004 1.29 -0.89 0.1 0.57 
FR AL RE MA 3 84 0.76 0.37 0.003 0.62 -3.61 0.1 0.69 
FR AL RE MA 4 84 0.58 0.21 -0.008 0.75 -0.20 0.09 0.84 
FR DA RE MA 1 84 0.71 0.04 -0.02 0.64 0.04 0.06 0.58 
FR DA RE MA 2 83 0.42 0.23 0.01 0.19 -2.68 0.07 0.26 
FR DA RE MA 3 85 0.98 0.09 0.005 0.77 -0.37 0.06 0.41 
FR DA RE MA 4 86 1.42 0.11 0.003 1.47 -0.45 0.08 0.48 
FR LI RE MA 1 86 1.07 -0.07 0.006 1.58 -0.12 0.04 0.98 
FR LI RE MA 2 85 1.03 0.11 -0.03 1.48 -0.32 0.04 1.12 
FR LI RE MA 3 85 1.28 0.28 -0.11 1.43 0.03 0.06 1.01 
FR LI RE MA 4 85 1.03 0.09 -0.13 1.28 -0.37 0.06 0.94 
FR NI RE MA 1 85 2.13 0.30 -0.006 2.92 0.06 0.02 1.05 
FR NI RE MA 2 85 1.57 0.23 -0.04 2.35 0.38 0.03 0.83 
FR NI RE MA 3 84 1.10 0.28 0.010 1.25 2.39 0.02 0.92 
FR NI RE MA 4 84 2.63 0.31 0.004 4.50 -2.35 0.04 0.64 
FR OL RE MA 1 85 2.21 0.27 -0.007 4.52 -1.98 0.03 0.72 
FR OL RE MA 2 85 1.23 0.09 -0.04 1.18 -0.18 0.05 0.66 
FR OL RE MA 3 85 1.14 0.18 -0.02 1.32 -0.74 0.03 0.65 
FR OL RE MA 4 84 1.03 0.53 0.010 0.84 -0.60 0.04 0.68 
FR CA ST FE 1 90 0.98 0.32 -0.02 2.62 0.48 0.05 1.12 
FR CA ST FE 2 90 1.12 0.18 0.12 2.98 0.53 0.07 1.31 
FR CA ST FE 3 91 0.82 0.20 -0.02 2.53 -1.17 0.09 1.23 
FR CA ST FE 4 91 0.84 0.14 0.005 1.99 -0.41 0.10 1.17 
FR LA ST FE 1 90 3.10 0.22 -0.03 4.47 -1.50 0.04 0.80 
FR LA ST FE 2 90 1.67 -0.03 0.14 3.53 1.27 0.05 0.83 
FR LA ST FE 3 90 2.10 0.03 0.17 3.96 0.68 0.03 0.81 
FR LA ST FE 4 88 1.23 0.11 -0.05 2.41 0.11 0.04 1.12 
FR MA ST FE 1 89 1.64 -0.09 0.27 3.58 0.57 0.2 0.97 
FR MA ST FE 2 89 2.10 0.14 0.08 5.71 1.40 0.1 1.11 
FR MA ST FE 3 89 1.58 0.10 -0.07 3.52 0.38 0.07 1.14 
FR MA ST FE 4 89 1.64 -0.006 0.002 2.91 0.09 0.1 1.15 
FR PR ST FE 1 92 1.82 0.06 0.11 3.39 1.42 0.3 0.75 
FR PR ST FE 2 91 1.83 0.32 0.21 5.29 -0.84 0.2 0.76 
FR PR ST FE 3 92 1.48 0.14 0.05 3.29 0.35 0.1 0.85 
FR PR ST FE 4 91 1.66 0.23 0.25 5.34 0.99 0.1 0.97 
FR SO ST FE 1 88 1.96 0.26 0.005 3.84 -0.44 0.10 1.07 
FR SO ST FE 2 87 1.47 0.20 -0.02 3.20 -0.14 0.2 1.04 
FR SO ST FE 3 88 1.81 0.18 0.13 5.57 -0.76 0.1 1.30 
FR SO ST FE 4 88 1.41 0.11 -0.04 4.17 -0.64 0.08 1.04 
FR AL ST MA 1 84 0.72 0.54 -0.005 0.54 1.13 0.2 0.46 
FR AL ST MA 2 84 0.57 0.32 -0.003 0.46 1.75 0.09 0.50 
FR AL ST MA 3 84 1.12 0.34 0.06 0.96 1.77 0.1 0.71 
FR AL ST MA 4 84 0.60 0.19 0.009 0.63 -0.61 0.08 0.70 
FR DA ST MA 1 85 1.02 -0.02 0.001 1.06 0.67 0.1 0.58 
FR DA ST MA 2 84 1.51 0.22 0.03 1.84 2.73 0.1 0.71 
FR DA ST MA 3 85 2.56 0.30 -0.19 1.44 -1.01 0.1 0.45 
FR DA ST MA 4 85 3.56 0.32 -0.04 4.41 5.55 0.09 0.29 
FR LI ST MA 1 84 1.23 0.33 0.04 1.42 -0.47 0.03 0.80 
FR LI ST MA 2 84 2.86 0.31 0.02 4.32 -3.95 0.02 0.69 
